;Titulo;Sinopsis;Genero
0;#Cartel;#Cartel es una serie dramática de televisión desarrollada para History Channel de la mano de Chris Brancato (co-creador de la aclamada serie de Netflix Narcos), quien sirve como guionista y productor.Esta serie gira alrededor las guerras del mundo de la droga a través de la historia real de Joaquín Guzmán, mejor conocido como El Chapo, y su ascención al poder como señor de la droga. Esta producción televisiva explora el aspecto de la vida del Chapo y su relación con la industria del entretenimiento y la música, además de una suerte de culto de fan que lo rodea y que se extiende más allá de la frontera de México, en los Estados Unidos. Este proyecto de History brinda un singular vistazo al mundo aún más extraño que la ficción de los cárteles de la droga que usan las redes sociales e Internet para mantener su imagen, recrutar nuevos miembros y amenazar a sus rivales.;Suspense,Judicial
1;'Allo 'Allo;La vida es cualquier cosa menos simple para René Artois, el propietario de una cafetería de pueblo en la Francia ocupada. Aparentemente neutral, tiene que encontrar un equilibrio entre la presión de los nazis y la de la Resistencia. Pero lo peor está de puertas para adentro, si su nujer se entera de la relación que tiene con el resto del servicio puede que desee no seguir vivo.;Comedia
2;(Des)encanto;(Des)encanto es una comedia de animación para adultos que se sitúa en el reino medieval de Dreamland. En él, vive la joven princesa Bean, una chica alcohólica a la que acompañan su elfo y su demonio Luci mientras están rodeados de ogros, arpías, trolls, morsas y humanos tontos. La ficción recorrerá el sentido de la vida desde una visión de desencanto, en el que la vida, la muerte, el amor y el sexo son los protagonistas.La comedia está creada por Matt Groening (Los Simpson) y Josh Weinstein (Los Simpson), que a su vez son los productores ejecutivos y guionistas de la historia. La parte animada corre a cargo de Rough Draft Studios (Futurama). El reparto de la voces protagonistas se compone de Abbi Jacobson (Broad City, La LEGO Ninjago película), Eric Andre (Dos chicas sin blanca) y Nat Faxon (Amigos de la Universidad). Es una producción de Netflix y The ULULU Company.;Fantasía,Animación
3;+ De 100 Mentiras;+ De 100 Mentiras narra la historia de un hackeo en todos los dispositivos móviles de un instituto. El hacker, @blackrabbit, está sacando todos los secretos y mentiras que alumnos y profesores ocultaban. Aunque todos son víctimas, los principales perjudicados son Lara, Ángela, Joel e Irene. Estos jóvenes esconden un oscuro secreto que si se sabe puede cambiar totalmente sus vidas y ahora está en peligro de salir a la luz.Lara es la más responsable y fría de los cuatro jóvenes, siempre tiene que tener todo bajo control. La joven cuida de su madre con una enfermedad degenerativa y protege a su hermana mayor. La hermana de Lara se llama Ángela, una chica rebelde que vive a base de sus impulsos. Además, es una de las chicas más 'populares' en el instituto y mantiene una relación con Joel. Este joven es un chico prepotente, que se dedica al boxeo y la gente le conoce como el chulo del instituto. La mejor amiga de Lara es Irene, una chica perfecta que fue adoptada por Ana y Lola.Es una producción de Atresmedia Televisión junto a Lucky Road Productions. El elenco de protagonistas se compone de Teresa Peiroten (Coco y Lana), Veki Velilla (Anclados), Javier Ruesga (Sabuesos), Alexandra Masangkay (Yo quisiera) y Jorge Motos (Si fueras tú).;Drama,Suspense
4;10;;Drama
5;10 Razones para odiarte;En el colegio Padua High, las hermanas Kat y Bianca Stratford tienen temperamentos opuestos y objetivos muy diferentes. Si una es feminista y está determinada a salvar a la gente y dejar la escuela lo más deprisa posible, la otra prefiere procuparse por su popularidad y sacar provecho de sus años de liceo.;Comedia
6;10 Years;;Comedia
7;100 Code;Tommy Conley es un detective de homicidios de Nueva York que es enviado a Estocolmo (Suecia) para investigar y resolver un complejo caso de asesinato. Así es como conoce a Mikael Eklund, un estricto policía sueco con el que no tarda en discutir. Desde el principio hay roces entre ambos, pues mientras que Mikael es un hombre serio y formal que siempre cumple las normas, Conley es justo lo contrario: cree que el fin justicia los medios y si hay que saltarse alguna ley, no hay nada de malo en ello. A Mikael no le agrada la presencia de Conley y no duda en hacerselo ver a cada momento, lo que provoca situaciones muy tensas entre ellos mientras se ven obligados a trabajar juntos para atrapar al asesino. Dominic Monaghan (El señor de los anillos, Perdidos) y Mikael Nyqvist (Misión Imposible: Protocolo Fantasma, Millenium) son los protagonistas de esta ficción creada por Bobby Moresco (Crash), que también participa como guionista. La historia está basada en el libro Merrick escrito por el irlandés Ken Bruens.;Drama,Crimen,Suspense
8;100 Questions for Charlotte Payne;Charlotte, una jovenzuela en busca del amor que decide utilizar un servicio de citas por Internet para encontrar a su media naranja. Pero para poder crearse un perfil en ese servicio tiene que contestar a 100 preguntas sobre sí misma y su vida.;Comedia
9;1000 maneras de morir;'1000 maneras de morir' es una serie antológica de televisión que se emitió en la cadena Spike TV entre mayo de 2008 y julio de 2012. Esta serie de docuficción recrea supuestas muertes que han sucedido de forma inusual y desmiente leyendas urbanas. Además, la producción incluye entrevistas con expertos que describen con todo detalle la ciencia detrás de cada una de las muertes.La serie se toma libertad artística para exagerar algunos de los aspectos de estos incidentes con el fin de incrementar el entretenimiento y, casi en la totalidad de ocasiones, los nombres de los involucrados son cambiados, así como también se cambian los nombres de los lugares, las fechas y el contexto. Gran cantidad de las muertes representadas en '1000 maneras de morir' han sido nominadas o ganadoras de los Premios Darwin, que premian a las personas que mueren de la forma más estúpida.Hasta el final de la primera temporada, la historia final de cada episodio muestra metraje real de situaciones peligrosas que casi tienen resultados fatales. Estas historias iban acompañadas por entrevistas con personas involucradas en aquellas situaciones.  Asimismo, la serie está plagada de humor negro, reflejado en la narración que acompaña a los episodios con información de fondo.El actor Ron Perlman ('Hellboy') ha prestado su voz como narrador en esta serie de antología desde el tercer episodio de la primera temporada. A partir del tercer episodio de la cuarta temporada, sin embargo, Joe Irwin sirvó como reemplazo para la narración de los episodios.En 2012, antes de emitir todos los episodios de la cuarta temporada, la serie fue cancelada debido a la huelga de productores y trabajadores del programa contra Spike.;Comedia,Documental
10;11-M, para que nadie lo olvide;Basada en los hechos probados de la sentencia de la Audiencia Nacional y el fallo del Tribunal Supremo, narra los atentados que tuvieron lugar el 11 de marzo de 2004 en Madrid.;Drama,Histórico,Suspense
11;11.22.63;"11/22/63 es una novela de Stephen King que gira en torno a un profesor de inglés de secundaria llamado Jake Epping. Jake Epping viaja en el tiempo con el objetivo de evitar el asesinato de John F. Kennedy. A lo largo de la historia, además de a Epping, se puede conocer también a Lee Harvey Oswald, el asesino del Presidente, y a su familia, su madre Marguerite y su esposa de origen ruso Marina.Para poder llevar a cabo su aventura, Jake cuenta con la ayuda de Al Templeton, un hombre rico que facilita su travesía. Además Harry Dunning, el conserje del instituto donde trabaja Jake, marca de manera muy importante al protagonista. En la década de los 60, dos personajes interactúan con el protagonista, Bill Turcotte, un camarero que se asocia con Jake para realizar la misión; y Sadie, una camarera que se enamora de él sin conocer su secreto.El reparto de la serie está encabezado por James Franco, y lo completan Daniel Webber, Lucy Fry, Cherry Jones, Chris Cooper, Leon Rippy, Sarah Gadon y George Mackay. El proyecto lo han hecho posible Warner Bros Tv, Hulu y la productora de JJ Abrams, Bad Robot.";Drama,Ciencia ficción,Suspense
12;112 - Sie Retten Dein Leben;112 - Sie Retten Dein Leben es una serie alemana que se produjo como una ficción diaria. La trama de la misma gira en torno a la colaboración entre distintos cuerpos como el de bomberos, la policía, los médicos, etc. y cómo trabajan juntos cuando se requiere su presencia.;Acción
13;12 Monkeys;'12 Monkeys' se centra en en Cole (Aaron Stanford), un n viajero en el tiempo proveniente de un futuro post-apocalíptico que se encuentra en la misión de localizar y erradicar la fuente de una plaga mortal que tiene el potencial de destruir la raza humana.La serie está protagonizada por Aaron Stanford (Nikita) y Amanda Schull (Pretty Little Liars), que interpreta a Cassandra Railly, una brillante doctora que se ve forzada a elegir entre llevando una vida idílica o sumarse a la expedición de Cole para desmantelar la peligrosa conspiración.12 Monkeys es una serie de ciencia ficción desarrollada por Terry Matalas y Travis Fickett producida para la cadena Syfy. Natalie Chaidez ejerce como 'showrunner' de esta adaptación televisiva, mientras que Jeffrey Reiner ha dirigido el piloto y produce el proyecto. Esta serie está basada en la película de 1995, protagonizada por Bruce Willis, Doce Monos, dirigida por Terry Gilliam ('Los caballeros de la mesa cuadrada'), que, a su vez, toma inspiración de un cortometraje francés titulado Le Jetée.;Drama,Ciencia ficción,Suspense
14;13 Miedos;13 cortos terroríficos de distintos directores que, de modo independiente, cuentan historias envueltas en misterio y terror. La serie está basada en la serie de los 80 La Hora Marcada.;Terror,Suspense
15;14 de abril. La República;Primavera de 1931. El pueblo de Madrid se ha levantado en masa para celebrar la proclamación de la II República. La capital bulle ante los cambios y vive una nueva época de libertades sin precedentes. Pero, mientras unos celebran el cambio de Gobierno, otros sectores se preparan para la lucha. 'República' rescata el espíritu de 'La Señora' para acercar al espectador una historia de amores imposibles condicionados por una época. Un tiempo fascinante repleto de historias que se desarrollan en un periodo histórico clave en la historia de España y que abarca en su primer tramo el primer bienio del nuevo Gobierno hasta el invierno de 1933, cuando los partidos conservadores se hacen con el gobierno republicano.;Histórico
16;1600 Penn;Comedia familiar producida por la NBC en la que seguiremos las desventuras de los Gilchrist, la divertida y alocada Primera Familia de los Estados Unidos. El presidente Dale Gilchrist (Bill Pullman, 'Carretera perdida', 'Mientras dormías', 'Torchwood') debe lidiar a diario con cuestiones de estado, reuniones con las personalidad más importantes del mundo, ruedas de prensa... Pero eso no es nada comparado con lo que le espera al llegar a casa. Y es que Gilchrist vive las más disparatadas situaciones gracias a su peculiar familia.Su hija Becca (Martha MacIsaac, 'La última casa a la izquierda', 'Supersalidos') es una adolescente a la que su nueva posición se la subido a la cabeza. Por otro lado, la inteligencia del pequeño Xander (Benjamin Stockham, 'Quarantine') se sale de los gráficos, y él lo aprovecha para desquiciar a sus profesores. Y por no olvidar a la segunda esposa de Gilchrist, Emily (Jenna Elfman, 'Enredos de sociedad', 'Con derecho a roce', 'Más que amigos'), que deberá aprender a lidiar tanto con sus hijastros como con sus nuevas responsabilidades de Primera Dama.Todo se vuelve un descontrol cuando su hijo mayor, Skip (Josh Gad, 'Territorio Perdido', 'Amor y otras drogas', 'Un rockero de pelotas'), un gorrón con una habilidad innata para meterse en líos, regresa a casa. Y es que Skip deberá madurar y aprender a comportarse de forma responsable si quiere integrarse de nuevo en la familia. ¿Pero cómo pasar de ser un juerguista desenfrenado y sin futuro a ser el modelo de hijo perfecto para un Presidente?;Comedia
17;18, la serie;Un grupo de jóvenes de 17 años que están a punto de alcanzar la mayoría de edad apuran los últimos tragos de adolescencia antes de empezar a tomar decisiones y afrontar cambios que pueden repercutir en su futuro. Entre ellos, Natalia es una joven cantante del grupo de música '18 RDC' (Ritmo de la Calle) que intentará encontrar al asesino de su hermano. Le ayudará en sus pesquisas Diego, el mejor amigo de su hermano, un joven rebelde enfrentado a su familia por el sueño de bailar.;Familia,Musical
18;1864;1864 es una serie dramática - histórica de Dinamarca. Cuenta la historia de dos hermanos, Peter y Laust Jensen, de origen humilde que se enamoran de la misma mujer, Inge, una joven adinerada de la misma zona. La trama está ambientada durante la guerra entre Dinamarca y la Confederación Germánica, formada por Prusia y Austria, en el siglo XIX. Peter y Laust se ven obligados a luchar en una de las guerras más cruentas de la historia de Europa, la Guerra de los Ducados.;Drama,Histórico
19;1944;;Comedia
20;1983;Robert Więckiewicz, un investigador de la policía deshonrado, y Maciej Musiał, un idealista estudiante de derecho, descubren décadas después de un ataque terrorista en 1983 que todo fue fruto de una conspiración entre el Telón de Acero y el estado policial de Polonia.Frank Marshall (Jurassic World, Jason Bourne) y Robert Zotnowski (House of Cards) son los productores ejecutivos de esta serie polaca de Netflix, mientras que Joshua Long es su creador.;Drama,Histórico
21;1992 (Millenovecento novanta due);"1992 es un drama histórico situado en Milán, Italia. La serie se centra en la convulsión política, econoómica y social vivida en el país durante el principio de los años 90, acontecimiento conocido como Tangentópolis.Tangentópolis supuso que saliera a la luz un escándalo de corrupción que mostró que el entramado político había permitido el fraude fiscal, la financiación ilegal de partidos y la malversación de fondos públicos. Este thriller político repasa como vivió el país ese importante momento político y social; además de reflejar la creación de Mani Pulite, la organización liderada por el juez Di pietro, tras la que se asumieron 1.200 condenas, decenas de suicidios de los implicados en el caso, varias absoluciones y la huida de Bettino Craxi, Primer Ministro cuando saltó el escándalo.Para seguir todo este momento histórico, la serie gira en torno a Leonardo Notte, un trabajador de Publitalia, una empresa publicitaria. Junto a él estarán Pietro, un veterano que se postula como miembro del Parlamento; Luca, un policía enfermo de SIDA que investiga a la mafia; verónica, una estrella televisiva; Michele Mainaghi, un empresario corrupto; Antonio Di Pietro, la cabeza visible de la operación judicial llevada a cabo por Mani pulite.El reparto está formado por Stefano Accorsi, Guido Caprino, Domenico Diele, Miriam Leone, Tomasso Ragno, Tea Falco y Antonio Gerardi.";Drama
22;21 Jump Street;Una unidad especial de jóvenes policías se encargan de infiltrarse en los colegios para establecer algo de orden en lso pasillos.;Crimen
23;21 Thunder;Esta serie trata sobre el competitivo mundo del fútbol, especialmente sobre la rivalidad de los jugadores más jóvenes que tratan de llegar a la sub-21 de su selección, quedándose muchos de ellos a las puertas. 21 Thunder se centra en la historia del equipo de Montreal, narrando los secretos de sus jugadores estrella tanto dentro como fuera del campo.De esta manera, este drama de la CBC no solo habla de fútbol, sino de una variedad de temas entre los que encontramos el amor, el sexo entre jóvenes, la figura de la mujer en el ámbito deportivo y el racismo. Sus creadores son Riley Adams, Kenneth Hirsch  y Adrian Wills. Entre los miembtros de su reparto destacan Stephanie Bennett (Big eyes), Emmanuel Kabongo (Frankie Drake Mysteries) y Andres Joseph (The Flash, Supergirl).;Drama,Deporte
24;23-F: El día más difícil del rey;En febrero de 1981 Leopoldo Calvo Sotelo está a punto de ser nombrado presidente de España. En el palacio de la Zarzuela, el día trascurre con relativa normalidad para una familia real que todavía está acostumbrándose a su nueva vida. Sin embargo, no muy lejos de allí, un grupo de militares encabezados por Antonio Tejero prepara un golpe de Estado. Descontentos con el rumbo que ha tomado el país desde la muerte de Franco, se proponen modificar la situación a su manera.;Histórico
25;24;Drama cargado de grandes dosis de acción y espionaje, en el que el encargado de la célula antiterrorista de Los Ángeles, Jack Bauer, cuenta con apenas 24 horas para cumplir su misión: salvar a la ciudad de una terrible amenaza. La serie fue innovadora porque cada temporada está compuesta de 24 capítulos de una hora de duración, simulando las 24 horas del día, y la acción transcurre en tiempo real.Jack Bauer (Kiefer Sutherland, 'Touch', 'Twelve') trabaja para la agencia de la Unidad Anti-Terrorista de Los Ángeles, y se embarca constantemente en misiones en las que se enfrenta a todo aquello que amenaza la seguridad de su país. Despiadado en su trabajo, Bauer siempre ha hecho cualquier cosa por conseguir sus objetivos en las misiones que le encomiendan.Su vida da un giro inesperado cuando su esposa Teri (Leslie Hope, 'The River') y su hija Kim (Elisha Cuthbert, 'Happy Endings') son secuestradas. Bauer es chantajeado para que asesine al Senador David Palmer (Dennis Haysbert, 'The Unit'), el primer candidato afroamericano a la presidencia de los Estados Unidos, a cambio de la vida de su familia. De esta forma, se ve envuelto en una misión contrarreloj en la que debe salvar a su mujer y su hija, así como garantizar la seguridad del Senador y de los Estados Unidos.;Drama,Espionaje,Acción
